id,email,password_hash,role,subject_ref,is_active,last_login_at
1,25bcp001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:1,True,
2,25bcp002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:2,True,
3,25bcp003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:3,True,
4,25bcp004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:4,True,
5,25bcp005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:5,True,
6,25bcp006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:6,True,
7,25bcp007@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:7,True,
8,25bcp008@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:8,True,
9,25bcp009@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:9,True,
10,25bcp010@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:10,True,
11,25bcp011@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:11,True,
12,25bcp012@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:12,True,
13,25bcp013@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:13,True,
14,25bcp014@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:14,True,
15,25bcp015@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:15,True,
16,25bcp016@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:16,True,
17,25bcp017@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:17,True,
18,25bcp018@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:18,True,
19,25bcp019@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:19,True,
20,25bcp020@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:20,True,
21,25bcp021@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:21,True,
22,25bcp022@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:22,True,
23,25bit001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:23,True,
